名称,uri
苘麻子苘麻子,0
萝芙木,1
郁李仁,2
地榆,3
芡实芡实,4
砂仁,5
茯苓,6
沉香沉香,7
木瓜,8
冬瓜皮,9
猪苓,10
楮实子楮实子,11
桑寄生,12
竹叶椒,13
桑叶,14
旱菜,15
瓦松,16
广金钱草,17
青葙子青葙子,18
祖司麻,19
绵毛马兜铃,20
猕猴桃,21
西洋参,22
龙眼肉,23
天胡荽,24
王不留行,25
乌桕根皮,26
鼠曲草,27
地椒,28
莓叶委陵菜,29
千金子,30
天仙藤,31
代代花枳壳,32
白首乌,33
牡丹皮,34
对叶百部,35
鸡肠狼毒,36
蛇床子蛇床子,37
丹参,38
泽漆,39
沙棘沙棘,40
狼毒,41
海金沙,42
十大功劳,43
西瓜皮,44
鸦胆子,45
威灵仙,46
陈皮陈皮,47
金樱子,48
防风,49
直立百部,50
槟榔槟榔,51
毛冬青,52
球花党参,53
瓶耳小草,54
独活,55
常春藤,56
地骨皮,57
甘遂,58
茜草,60
柴胡,61
及已,62
覆盆子,63
甘西鼠尾,64
粉防己,65
天葵子,66
扁蓄,67
关木通,68
太子参,69
亚麻子亚麻子,70
五味子,71
爬山虎,72
石韦,73
喜树果喜树果,74
当归,75
白鲜皮,76
南丹参,77
芫荽,78
蔓荆子蔓荆子,79
五味子,80
白芷,81
委陵菜,82
苏木,83
连钱草,84
细辛,85
连翘连翘,86
石斛,87
石南叶,88
陆英,89
藿香,90
白扁豆,91
月腺大戟,92
翻白草,93
益母草,94
麻黄,95
白芍,96
砂仁,97
白英,98
土木香,99
四季青,100
菥冥,101
青蒿,102
败酱草,103
南鹤虱,104
黄芪,105
菟丝子菟丝子,106
黄芩,107
五加皮,108
墨旱莲,109
苍耳子苍耳子,110
锁阳,111
望江南,112
疾藜疾藜,113
枸杞子枸杞子,114
荠菜,115
威灵仙,116
柿蒂柿蒂,117
紫参,118
甘草,119
砂仁,120
总状土木香,121
罗布麻叶,122
刺五加,123
艾叶,124
明党参,125
枳具子,126
芥子芥子,127
胖大海胖大海,128
狼毒,129
浙桐皮,130
柴胡,131
大花细辛,132
棕板,133
前胡,134
汉中防己,135
乌蔹莓,136
金果榄,137
玄参,138
秦艽,139
徐长卿,140
南瓜子,141
钩藤,142
丹参,143
榧子,144
刺蓬花,145
苦杏仁,146
牛蒡子,147
紫草,148
枇杷叶,149
白花蛇舌草,150
含羞草,151
无患子,152
瓜子金,153
赤小豆赤小豆,154
豆蔻豆蔻,155
马兜铃马兜铃,156
葫芦巴,157
冬虫夏草,158
锡兰肉桂,159
厚叶川木香k,160
列当,161
千屈菜,162
羊角拗羊角拗,163
关白附子,165
三尖杉,166
草豆蔻,167
苦参,168
何首乌,169
龙葵,170
石韦,171
白头翁,172
络石藤,173
茵陈,174
雪莲花,175
肉桂,176
补骨脂补骨脂,177
江南卷柏,178
麦冬,179
丁公藤,180
芦荟,181
丝瓜络丝瓜络,182
马钱子马钱子,183
丹西鼠尾RadixSalviaePrzewalskii,184
枸骨叶,185
急性子,186
栀子,187
苦木苦木,188
鸡血藤,189
紫珠叶,190
杜仲,191
紫芝,192
紫苏叶,193
木通,194
湖北麦冬,195
鸡矢藤,196
新疆紫草,197
葛根,198
苦丁茶,199
绿豆,200
北沙参,202
牛皮消,203
韭菜子,204
胡颓子,205
肉苁蓉,206
广豆根,207
一枝黄花,208
天冬,209
决明子,210
郁李仁,211
三叶鬼针草,212
木防己,213
青黛,214
芙蓉叶,215
鸭跖草,216
瞿麦,217
淡豆鼓,218
千里光,219
桃仁,220
地肤子,221
茶叶,222
矮地茶,223
青果青果,224
野马追,225
石斛,226
南沙参,227
花椒花椒,228
紫菀,229
商陆,230
大狼毒,231
路路通路路通,232
鬼箭羽,233
三白草,234
木鳖子木鳖子,235
石斛,236
金钱草,237
臭梧桐叶,238
荔枝核,239
兴安白头翁,240
细辛,241
人参,242
吴茱萸吴茱萸,243
黄柏,244
石刁柏,245
通草,246
乌药,247
筋骨草,248
昆布,249
木香,250
狼毒,251
白果,252
黑芝麻黑芝麻,253
葶苈子,254
马鞭草,255
樟木,256
无花果无花果,257
罗汉果罗汉果,258
漏芦,259
飞龙掌血,260
牛膝,261
牡荆叶,262
景天三七,263
火麻仁,264
蓖麻子蓖麻子,265
党参,266
仙鹤草,267
垂盆草,268
大枣,269
三七,270
常山,271
鹤虱鹤虱,272
鱼腹草,273
新疆芍药,274
京大戟,275
牵牛子牵牛子,276
狼毒,277
诃子诃子,278
金边龙舌兰,279
野颠茄,280
西河柳,281
空心莲子草,282
地锦草,283
川桐皮,284
希莶草,285
灵芝,286
酸枣仁酸枣仁,287
佩兰,288
竹茹,289
刀豆,290
蒲公英,291
菊三七,292
苦楝皮,293
益智,294
小蓟,295
天仙子天仙子,296
穿心莲,297
半边莲,298
黄荆子,299
薄荷,300
广藿香,301
沙苑子,302
薏苡仁,303
椿皮,304
土荆皮,305
石榴皮,306
香加皮,307
车前子,308
化橘红,309
西番莲,310
大血藤,311
鸡血藤,312
山楂山楂,313
白蔹,314
板蓝根,315
檀香,316
巴戟天,317
五加皮,318
红旱莲,320
水红花子,321
山楂,322
羊蹄,324
大蓟,325
留兰香,326
肿节风,327
蔓生百部,328
八角茴香,329
笔筒草,330
紫草,331
马勃,332
麦冬,333
天竺子天竺子,334
杠板归,335
百部,336
侧柏叶,337
秦皮,338
山茱萸山茱萸,339
白薇,340
半枝莲,341
娑罗子娑罗子,342
木瓜,343
泽兰,344
一点红,345
川楝子,346
小茴香,347
草乌,348
爵床,349
长春花,350
预知子预知子,351
萱草根,352
香橼,353
虎耳草,354
蛇莓,355
女贞子,356
苎麻根,357
瓜蒌,358
阔叶麦冬,359
使君子,360
绿衣枳壳,361
荔枝草,362
绞股蓝,363
大草寇,364
淫羊藿淫羊藿,365
降香,366
远志,367
核桃仁,368
石斛,369
地黄,371
棉团铁线莲,372
大风子,373
甜瓜子甜瓜子,374
桔梗,375
油茶油,376
莲子莲子,377
厚朴,378
莱菔子,379
铁苋菜,380
水飞蓟,381
皂角刺,382
银柴胡,383
灯心草灯心草MedullaJunci(英)Rush,384
黄花夹竹桃叶,385
四叶参,386
葱子葱子,387
枳实,388
石斛,389
臭草,390
郁金,391
打破碗花花,393
瞿麦,394
赤芍,395
白屈菜,396
茅莓茅莓,397
巴豆巴豆,398
麦冬,399
土人参,400
长梗郁李,401
环草石斛,402
对叶百部,403
缩砂蜜,404
冥楂,405
细叶十大功劳,406
华中五味子,407
庐山石韦,408
贴梗海棠,409
华细辛,410
束花石斛,411
海南砂仁,412
细柱五加,412
阳春砂仁,413
常春油麻藤,414
欧李,415
石竹,416
